grid_id,external_id_type,external_id
grid.1001.0,ISNI,0000 0001 2180 7477
grid.1001.0,FundRef,501100000995
grid.1001.0,FundRef,501100001151
grid.1002.3,ISNI,0000 0004 1936 7857
grid.1002.3,FundRef,501100000991
grid.1002.3,FundRef,501100001779
grid.1002.3,FundRef,501100001198
grid.1003.2,ISNI,0000 0000 9320 7537
grid.1003.2,FundRef,501100001794
grid.1004.5,ISNI,0000 0001 2158 5405
grid.1004.5,FundRef,501100001230
grid.1005.4,ISNI,0000 0004 4902 0432
grid.1005.4,FundRef,501100001773
grid.1006.7,ISNI,0000 0001 0462 7212
grid.1006.7,FundRef,501100000774
grid.1006.7,HESA,0154
grid.1006.7,UCAS,N21
grid.1006.7,UKPRN,10007799
grid.1007.6,ISNI,0000 0004 0486 528X
grid.1007.6,FundRef,501100001777
grid.1008.9,ISNI,0000 0001 0120 7028
grid.1008.9,FundRef,501100001782
grid.1008.9,FundRef,501100000986
grid.1008.9,FundRef,501100000987
grid.1008.9,FundRef,501100001052
grid.1009.8,ISNI,0000 0004 1936 826X
grid.1009.8,FundRef,501100001249
grid.1010.0,ISNI,0000 0004 1936 7304
grid.1010.0,FundRef,501100001786
grid.1010.0,FundRef,501100002678
grid.1010.0,FundRef,501100005887
grid.1011.1,ISNI,0000 0004 0474 1797
grid.1011.1,FundRef,501100001792
grid.1012.2,ISNI,0000 0004 1936 7910
grid.1012.2,FundRef,501100001801
grid.1013.3,ISNI,0000 0004 1936 834X
grid.1013.3,FundRef,501100001774
grid.1013.3,FundRef,501100001248
grid.1013.3,FundRef,501100001196
grid.1013.3,FundRef,501100006150
grid.1014.4,ISNI,0000 0004 0367 2697
grid.1014.4,FundRef,501100001785
grid.1014.4,FundRef,501100003133
grid.1016.6,FundRef,501100000943
grid.1017.7,ISNI,0000 0001 2163 3550
grid.1017.7,FundRef,501100001780
grid.1017.7,FundRef,100008690
grid.1018.8,ISNI,0000 0001 2342 0938
grid.1018.8,FundRef,501100001215
grid.1019.9,ISNI,0000 0001 0396 9544
grid.1019.9,FundRef,501100001784
grid.1020.3,ISNI,0000 0004 1936 7371
grid.1021.2,ISNI,0000 0001 0526 7079
grid.1021.2,FundRef,501100001778
grid.1022.1,ISNI,0000 0004 0437 5432
grid.1022.1,FundRef,501100001791
grid.1022.1,FundRef,501100003450
