geonames_city_id,city,nuts_level1_code,nuts_level1_name,nuts_level1_ascii_name,nuts_level2_code,nuts_level2_name,nuts_level2_ascii_name,nuts_level3_code,nuts_level3_name,nuts_level3_ascii_name,geonames_admin1_code,geonames_admin1_name,geonames_admin1_ascii_name,geonames_admin2_code,geonames_admin2_name,geonames_admin2_ascii_name
2172517,Canberra,,,,,,,,,,AU.01,Australian Capital Territory,Australian Capital Territory,,,
2158177,Melbourne,,,,,,,,,,AU.07,Victoria,Victoria,AU.07.24600,Melbourne,Melbourne
2174003,Brisbane,,,,,,,,,,AU.04,Queensland,Queensland,AU.04.31000,Brisbane,Brisbane
2147714,Sydney,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.17200,City of Sydney,City of Sydney
2641673,Newcastle upon Tyne,UKC,North East (England),North East (England),UKC2,Northumberland and Tyne and Wear,Northumberland and Tyne and Wear,UKC22,Tyneside,Tyneside,GB.ENG,England,England,GB.ENG.I7,Newcastle upon Tyne,Newcastle upon Tyne
2171507,Wollongong,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.18450,Wollongong,Wollongong
2163355,Hobart,,,,,,,,,,AU.06,Tasmania,Tasmania,AU.06.62810,Hobart,Hobart
2078025,Adelaide,,,,,,,,,,AU.05,South Australia,South Australia,AU.05.40070,Adelaide,Adelaide
2146142,Townsville,,,,,,,,,,AU.04,Queensland,Queensland,AU.04.37010,Townsville,Townsville
2063523,Perth,,,,,,,,,,AU.08,Western Australia,Western Australia,AU.08.51310,Cambridge,Cambridge
2177671,Armidale,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.10110,Armidale Dumaresq,Armidale Dumaresq
2165087,Gold Coast,,,,,,,,,,AU.04,Queensland,Queensland,AU.04.33430,Gold Coast,Gold Coast
2151437,Rockhampton,,,,,,,,,,AU.04,Queensland,Queensland,AU.04.36360,Rockhampton,Rockhampton
2151650,Richmond,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.13800,Hawkesbury,Hawkesbury
2160063,Lismore,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.14850,Lismore Municipality,Lismore Municipality
8354541,Robina,,,,,,,,,,AU.04,Queensland,Queensland,AU.04.33430,Gold Coast,Gold Coast
756135,Warsaw,PL1,Region Centralny,Region Centralny,PL12,Mazowieckie,Mazowieckie,PL127,Miasto Warszawa,Miasto Warszawa,PL.78,Masovian Voivodeship,Masovian Voivodeship,PL.78.1465,Warszawa,Warszawa
2176632,Bathurst,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.10470,Bathurst Regional,Bathurst Regional
2177091,Ballarat,,,,,,,,,,AU.07,Victoria,Victoria,AU.07.20570,Ballarat North,Ballarat North
2073124,Darwin,,,,,,,,,,AU.03,Northern Territory,Northern Territory,AU.03.71000,Darwin,Darwin
2146268,Toowoomba,,,,,,,,,,AU.04,Queensland,Queensland,AU.04.36910,Toowoomba,Toowoomba
5128581,New York City,,,,,,,,,,US.NY,New York,New York,,,
2166584,Fitzroy,,,,,,,,,,AU.07,Victoria,Victoria,AU.07.27350,Yarra,Yarra
2155386,Newtown,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.15200,Marrickville,Marrickville
264371,Athens,,,,,,,,,,GR.ESYE31,Attica,Attica,GR.ESYE31.445408,Nomarchía Athínas,Nomarchia Athinas
5374361,Monterey,,,,,,,,,,US.CA,California,California,US.CA.053,Monterey County,Monterey County
2651347,Derby,UKF,East Midlands (England),East Midlands (England),UKF1,Derbyshire and Nottinghamshire,Derbyshire and Nottinghamshire,UKF11,Derby,Derby,GB.ENG,England,England,GB.ENG.D2,Derby,Derby
4140963,"Washington, D. C.",,,,,,,,,,US.DC,"Washington, D.C.","Washington, D.C.",,,
2643743,London,UKI,London,London,UKI1,Inner London,Inner London,UKI11,Inner London - West,Inner London - West,GB.ENG,England,England,GB.ENG.GLA,Greater London,Greater London
633679,Turku,FI1,Manner-Suomi,Manner-Suomi,FI1C,Etelä-Suomi,Etela-Suomi,FI1C1,Varsinais-Suomi,Varsinais-Suomi,FI.15,Western Finland,Western Finland,FI.15.02,Varsinais-Suomi,Varsinais-Suomi
4931972,Cambridge,,,,,,,,,,US.MA,Massachusetts,Massachusetts,US.MA.017,Middlesex County,Middlesex County
3031137,Boulogne-Billancourt,FR1,Île de France,Ile de France,FR10,Île de France,Ile de France,FR105,Hauts-de-Seine,Hauts-de-Seine,FR.A8,Île-de-France,Ile-de-France,FR.A8.92,Département des Hauts-de-Seine,Departement des Hauts-de-Seine
6094817,Ottawa,,,,,,,,,,CA.08,Ontario,Ontario,,,
2638785,St Helens,UKD,North West (England),North West (England),UKD7,Merseyside,Merseyside,UKD71,East Merseyside,East Merseyside,GB.ENG,England,England,GB.ENG.N1,St. Helens,St. Helens
6058560,London,,,,,,,,,,CA.08,Ontario,Ontario,,,
