grid_id,relationship_type,related_grid_id
grid.1001.0,Affiliated,grid.460694.9
grid.1001.0,Affiliated,grid.413314.0
grid.1001.0,Affiliated,grid.460721.6
grid.1002.3,Affiliated,grid.1623.6
grid.1002.3,Affiliated,grid.414580.c
grid.1002.3,Affiliated,grid.1056.2
grid.1002.3,Affiliated,grid.460735.3
grid.1002.3,Affiliated,grid.416057.1
grid.1002.3,Affiliated,grid.416060.5
grid.1003.2,Affiliated,grid.460731.7
grid.1003.2,Affiliated,grid.240416.5
grid.1003.2,Affiliated,grid.412744.0
grid.1003.2,Affiliated,grid.416100.2
grid.1004.5,Affiliated,grid.416790.d
grid.1005.4,Affiliated,grid.418393.4
grid.1005.4,Affiliated,grid.413950.a
grid.1005.4,Affiliated,grid.1053.7
grid.1005.4,Affiliated,grid.429098.e
grid.1005.4,Affiliated,grid.460744.5
grid.1005.4,Affiliated,grid.250407.4
grid.1005.4,Affiliated,grid.415193.b
grid.1005.4,Affiliated,grid.416139.8
grid.1005.4,Affiliated,grid.460804.e
grid.1005.4,Affiliated,grid.460806.c
grid.1005.4,Affiliated,grid.419287.1
grid.1005.4,Affiliated,grid.416398.1
grid.1005.4,Affiliated,grid.416941.f
grid.1005.4,Affiliated,grid.460648.8
grid.1005.4,Affiliated,grid.414009.8
grid.1005.4,Affiliated,grid.1057.3
grid.1005.4,Affiliated,grid.460669.b
grid.1006.7,Affiliated,grid.415050.5
grid.1006.7,Affiliated,grid.454379.8
grid.1006.7,Affiliated,grid.156122.3
grid.1006.7,Affiliated,grid.415506.3
grid.1006.7,Affiliated,grid.419334.8
grid.1006.7,Affiliated,grid.414158.d
grid.1006.7,Affiliated,grid.450004.5
grid.1007.6,Affiliated,grid.460804.e
grid.1007.6,Affiliated,grid.460806.c
grid.1007.6,Affiliated,grid.417154.2
grid.1008.9,Affiliated,grid.410678.c
grid.1008.9,Affiliated,grid.414094.c
grid.1008.9,Affiliated,grid.431365.6
grid.1008.9,Affiliated,grid.1056.2
grid.1008.9,Affiliated,grid.418002.f
grid.1008.9,Affiliated,grid.414539.e
grid.1008.9,Affiliated,grid.415335.5
grid.1008.9,Affiliated,grid.429299.d
grid.1008.9,Affiliated,grid.415325.4
grid.1008.9,Affiliated,grid.430346.6
grid.1008.9,Affiliated,grid.416107.5
grid.1008.9,Affiliated,grid.416259.d
grid.1008.9,Affiliated,grid.413105.2
grid.1008.9,Affiliated,grid.1073.5
grid.1008.9,Affiliated,grid.410670.4
grid.1009.8,Affiliated,grid.454236.2
grid.1009.8,Affiliated,grid.415330.0
grid.1009.8,Affiliated,grid.416131.0
grid.1010.0,Affiliated,grid.410664.1
grid.1010.0,Affiliated,grid.460761.2
grid.1010.0,Affiliated,grid.416037.7
grid.1010.0,Affiliated,grid.416075.1
grid.1010.0,Affiliated,grid.1694.a
grid.1011.1,Affiliated,grid.456586.c
grid.1012.2,Affiliated,grid.415051.4
grid.1012.2,Affiliated,grid.416195.e
grid.1012.2,Affiliated,grid.3521.5
grid.1012.2,Affiliated,grid.454082.f
grid.1013.3,Affiliated,grid.460687.b
grid.1013.3,Affiliated,grid.460711.5
grid.1013.3,Affiliated,grid.248902.5
grid.1013.3,Affiliated,grid.413973.b
grid.1013.3,Affiliated,grid.414235.5
grid.1013.3,Affiliated,grid.414685.a
grid.1013.3,Affiliated,grid.460725.2
grid.1013.3,Affiliated,grid.460783.e
grid.1013.3,Affiliated,grid.413243.3
grid.1013.3,Affiliated,grid.416139.8
grid.1013.3,Affiliated,grid.412703.3
grid.1013.3,Affiliated,grid.413249.9
grid.1013.3,Affiliated,grid.416787.b
grid.1013.3,Affiliated,grid.460659.8
grid.1013.3,Affiliated,grid.413252.3
grid.1014.4,Affiliated,grid.414925.f
grid.1014.4,Affiliated,grid.240634.7
grid.1014.4,Affiliated,grid.1694.a
grid.1016.6,Child,grid.417660.2
grid.1016.6,Child,grid.421683.a
grid.1016.6,Child,grid.413322.5
grid.1016.6,Child,grid.417668.a
grid.1016.6,Child,grid.417649.9
grid.1016.6,Child,grid.417664.6
grid.1016.6,Child,grid.417653.2
grid.1016.6,Child,grid.413347.6
grid.1016.6,Child,grid.417671.2
grid.1016.6,Child,grid.417654.5
grid.1016.6,Child,grid.417667.5
grid.1016.6,Child,grid.428408.2
grid.1017.7,Affiliated,grid.414094.c
grid.1018.8,Affiliated,grid.414094.c
grid.1018.8,Affiliated,grid.414580.c
grid.1018.8,Affiliated,grid.416259.d
grid.1021.2,Affiliated,grid.414580.c
grid.1021.2,Affiliated,grid.415335.5
grid.1022.1,Affiliated,grid.413154.6
grid.1022.1,Affiliated,grid.460802.8
grid.1026.5,Affiliated,grid.410664.1
grid.1026.5,Affiliated,grid.460761.2
grid.1026.5,Affiliated,grid.1694.a
grid.1029.a,Affiliated,grid.414201.2
grid.1029.a,Affiliated,grid.460687.b
grid.1029.a,Affiliated,grid.460708.d
grid.1029.a,Affiliated,grid.415994.4
grid.1033.1,Affiliated,grid.413154.6
grid.1033.1,Affiliated,grid.460802.8
grid.1037.5,Affiliated,grid.460669.b
grid.1039.b,Affiliated,grid.460694.9
grid.1039.b,Affiliated,grid.413314.0
grid.1043.6,Affiliated,grid.240634.7
grid.1047.2,Parent,grid.453200.0
grid.1056.2,Affiliated,grid.1002.3
grid.1056.2,Affiliated,grid.1008.9
grid.1057.3,Affiliated,grid.1005.4
grid.1073.5,Affiliated,grid.413105.2
grid.1073.5,Affiliated,grid.1008.9
grid.1108.8,Parent,grid.420434.5
grid.1121.3,Affiliated,grid.292517.a
grid.1121.3,Affiliated,grid.17568.3d
grid.1121.3,Affiliated,grid.426088.0
grid.1214.6,Child,grid.423314.3
grid.1214.6,Child,grid.421005.2
grid.1214.6,Child,grid.446819.6
grid.1214.6,Child,grid.447221.6
grid.1214.6,Child,grid.453560.1
grid.1214.6,Child,grid.447104.2
grid.1214.6,Child,grid.248465.9
grid.1214.6,Child,grid.419531.b
grid.1214.6,Child,grid.419533.9
grid.1214.6,Child,grid.432623.2
grid.1214.6,Child,grid.430355.4
grid.1214.6,Child,grid.438006.9
grid.1214.6,Child,grid.447641.4
grid.1214.6,Child,grid.447627.4
grid.1214.6,Child,grid.447671.7
grid.1374.1,Affiliated,grid.410552.7
grid.1453.3,Child,grid.108752.9
grid.1463.0,Parent,grid.451254.3
grid.1491.d,Child,grid.416530.5
grid.1491.d,Child,grid.460774.6
grid.1491.d,Child,grid.416562.2
grid.1623.6,Affiliated,grid.267362.4
grid.1623.6,Affiliated,grid.1002.3
grid.1649.a,Affiliated,grid.8761.8
grid.1649.a,Child,grid.415579.b
grid.1694.a,Affiliated,grid.1014.4
